OrderNumber,SKU,QtyShipped,ProductType,PiecesPerCarton
6241628,37X57MA,1,Outerwear,8
6241628,37X69MA,1,Outerwear,8
6241628,37X70MA,1,Outerwear,8
6241628,37X75MA,1,Outerwear,8
6241628,420613MA,2,Shirts,30
6241628,55979MA,1,Shirts,30
6241629,298060,1,Shirts,30
6241629,298185,1,Shirts,30
6241629,4195,1,Shirts,30
6241629,699374,1,Shirts,30
6241630,223131,1,Shirts,30
6241630,693503,2,Shirts,30
6241630,693509,4,Shirts,30
6241630,693512,3,Shirts,30
6241630,698717,10,Shirts,30
6241630,808798,2,Shirts,30
6241631,272996,1,Shirts,30
6241631,392308S,2,Shirts,30
6241631,393397,1,Shirts,30
6241631,4101,2,Shirts,30
6241631,4135,1,Shirts,30
6241631,497830,1,Shirts,30
6241631,695166,2,Shirts,30
6241631,695711,2,Shirts,30
6241631,791892,2,Shirts,30
6241631,805113,2,Shirts,30
6241631,78-1225,1,Shirts,30
6241631,193807GS,1,Shirts,30
6241631,37X62MA,1,Outerwear,8
6241632,691508,2,Shirts,30
6241632,692024,2,Shirts,30
6241632,695708,2,Shirts,30
6241632,790290,2,Shirts,30
6241632,190275,1,Shirts,30
6241634,495770,1,Shirts,30
6241634,790290,1,Shirts,30
6241634,672440MA,2,Footwear,12
6241634,672440MA,2,Footwear,12
6241634,672441MA,2,Footwear,12
6241637,27803S,4,Shirts,30
6241637,491021,1,Shirts,30
6241637,495755,1,Shirts,30
6241637,495756,1,Shirts,30
6241637,691421,1,Shirts,30
6241637,691813,1,Shirts,30
6241637,692219,2,Shirts,30
6241637,693502,1,Shirts,30
6241637,693509,1,Shirts,30
6241637,808798,1,Shirts,30
6241639,694260,1,Shirts,30
6241641,496606,1,Footwear,12
6241641,499233,1,Shirts,30
6241641,420005MA,2,Shirts,30
6241641,92683MA,2,Jewelry,250
6241643,281505S,5,Shirts,30
6241643,691060,2,Shirts,30
6241643,691104,1,Shirts,30
6241643,692287,1,Shirts,30
6241643,693487,1,Shirts,30
6241643,693493,1,Shirts,30
6241643,695058,2,Shirts,30
6241643,698473,1,Shirts,30
6241645,791481,1,Shirts,30
6241646,492932S,12,Shirts,30
6241646,100514GS,1,Shirts,30
6241646,6042,1,Shirts,30
6241646,6050,1,Shirts,30
6241647,490348,1,Shirts,30
6241647,692232,1,Shirts,30
6241647,695441,2,Shirts,30
6241647,696537,1,Shirts,30
6241647,1101940MA,1,Shirts,30
6241647,21022MA,1,Shirts,30
6241647,21024MA,1,Shirts,30
6241647,21096MA,1,Shirts,30
6241647,325352MA,1,Shirts,30
6241649,273356S,2,Shirts,30
6241649,691267,1,Shirts,30
6241649,692349,1,Shirts,30
6241649,692446,2,Shirts,30
6241649,792040,1,Shirts,30
6241650,499601,1,Shirts,30
6241650,499604,2,Shirts,30
6241650,691035,2,Shirts,30
6241650,692317,1,Shirts,30
6241650,694012,1,Slacks,40
6241652,494439,2,Shirts,30
6241652,790688,2,Shirts,30
6241653,190595GS,1,Shirts,30
6241653,37X96MA,1,Outerwear,8
6241654,190634GS,1,Shirts,30
6241655,491588S,1,Shirts,30
6241656,4154,1,Shirts,30
6241656,792101,1,Shirts,30
6241656,190634GS,1,Shirts,30
6241657,694260,1,Shirts,30
6241657,698474,1,Shirts,30
6241658,231855S,1,Shirts,30
6241658,394682,1,Shirts,30
6241658,4154,1,Shirts,30
6241658,691472,1,Shirts,30
6241658,692218,1,Shirts,30
6241658,802574,2,Shirts,30
6241658,802574,2,Shirts,30
6241658,6039,4,Shirts,30
6241658,165X80MA,1,Shirts,30
6241658,423238MA,1,Shirts,30
6241658,491926MA,2,Neckwear,60
6241659,291675S,1,Shirts,30
6241659,690810,1,Shirts,30
6241659,692226,1,Shirts,30
6241660,273280S,1,Shirts,30
6241660,4139,1,Shirts,30
6241660,4141,1,Shirts,30
6241660,498260,2,Shirts,30
6241660,499521,1,Shirts,30
6241660,690968,1,Shirts,30
6241660,695760,1,Shirts,30
6241660,808798,1,Shirts,30
6241661,175572,1,Shirts,30
6241662,398187,1,Shirts,30
6241662,493640,5,Shirts,30
6241662,495770,3,Shirts,30
6241662,5077D,2,Shirts,30
6241662,690577,2,Shirts,30
6241662,693981,5,Shirts,30
6241663,202432-0063,2,Slacks,40
6241664,398188,1,Shirts,30
6241665,496047,4,Shirts,30
6241666,4129,3,Shirts,30
6241666,4130,2,Shirts,30
6241666,4142,1,Shirts,30
6241666,496914,1,Shirts,30
6241666,691588,1,Shirts,30
6241666,691694,2,Shirts,30
6241666,691866,1,Shirts,30
6241666,692052,1,Shirts,30
6241666,693503,1,Shirts,30
6241666,694394,4,Shirts,30
6241666,790845,1,Shirts,30
6241666,807706,1,Shirts,30
6241666,4K50DC,2,Outerwear,8
6241666,11287628PGS,1,Shirts,30
6241666,37X62MA,1,Outerwear,8
6241666,71133MA,2,Shirts,30
6241667,270026,2,Shirts,30
6241667,271866S,1,Shirts,30
6241667,27355S,2,Shirts,30
6241667,299060,1,Shirts,30
6241667,391813,1,Shirts,30
6241667,393725,1,Shirts,30
6241667,397971,1,Shirts,30
6241667,491588S,1,Shirts,30
6241667,492932S,1,Shirts,30
6241667,493537S,1,Shirts,30
6241667,494585,1,Shirts,30
6241667,495770,1,Shirts,30
6241667,498298,1,Shirts,30
6241667,5043D,2,Shirts,30
6241667,5055D,2,Shirts,30
6241667,693502,1,Shirts,30
6241667,696539,1,Shirts,30
6241667,94124,1,Shirts,30
6241667,168360X004,1,Shirts,30
6241667,87877,1,Shirts,30
6241667,23739MA,1,Shirts,30
6241667,26X263MA,2,Shirts,30
6241667,37X61MA,1,Outerwear,8
6241667,37X62MA,1,Outerwear,8
6241667,456631MA,1,Neckwear,60
6241667,471548MA,1,Neckwear,60
6241667,93064MA,1,Jewelry,250
6241667,94130MA,1,Shirts,30
6241668,272922,2,Shirts,30
6241668,27918,2,Shirts,30
6241668,281505S,4,Shirts,30
6241668,296767,1,Shirts,30
6241668,392308S,2,Shirts,30
6241668,394681,3,Shirts,30
6241668,399671,3,Shirts,30
6241668,498261,15,Shirts,30
6241668,690940,10,Shirts,30
6241668,690946,4,Shirts,30
6241668,691135,2,Shirts,30
6241668,691632,2,Shirts,30
6241668,692194,1,Shirts,30
6241668,692299,2,Shirts,30
6241668,692667,3,Shirts,30
6241668,695157,1,Shirts,30
6241668,530038682,1,Shirts,30
6241668,530401958,1,Shirts,30
6241668,952031152,1,Shirts,30
6241668,952701663,1,Shirts,30
6241668,952711616,2,Shirts,30
6241668,37X70MA,1,Outerwear,8
6241668,41529MA,1,Shirts,30
6241668,672441MA,5,Footwear,12
6241668,672801MA,1,Footwear,12
6241668,711657MA,1,Shirts,30
6241668,71792MA,2,Shirts,30
6241668,774052MA,5,Neckwear,60
6241668,92683MA,1,Jewelry,250
6241668,95188MA,1,Shirts,30
6241669,273280S,1,Shirts,30
6241669,281370S,5,Shirts,30
6241669,398811,2,Shirts,30
6241669,494559,2,Shirts,30
6241669,495770,5,Shirts,30
6241669,691297,3,Shirts,30
6241669,691874,1,Shirts,30
6241669,697227,1,Shirts,30
6241669,530038682,2,Shirts,30
6241669,530039163,2,Shirts,30
6241669,530059254,2,Shirts,30
6241669,530069166,2,Shirts,30
6241669,672754MA,2,Shirts,30
6241670,399269,1,Shirts,30
6241670,499631,1,Shirts,30
6241670,692517,1,Shirts,30
6241670,692550,1,Shirts,30
6241670,695302,1,Shirts,30
6241670,699485,1,Shirts,30
6241670,791798,1,Shirts,30
6241671,802574,1,Shirts,30
6241673,217902-0015,1,Slacks,40
6241675,260591,1,Shirts,30
6241675,260875,3,Shirts,30
6241675,261312,1,Shirts,30
6241675,262001,1,Shirts,30
6241675,262651S,1,Shirts,30
6241675,262652S,1,Shirts,30
6241675,272996,3,Shirts,30
6241675,295871,3,Shirts,30
6241675,390066,1,Shirts,30
6241675,390463,1,Shirts,30
6241675,395538,1,Shirts,30
6241675,493989,1,Shirts,30
6241675,498038,1,Shirts,30
6241675,690577,2,Shirts,30
6241675,692423,1,Shirts,30
6241675,93322,1,Shirts,30
6241675,93324,1,Shirts,30
6241676,690243,1,Shirts,30
6241676,691026,1,Shirts,30
6241676,691220,1,Shirts,30
6241677,5001D,1,Shirts,30
6241677,692519,1,Shirts,30
6241677,692520,1,Shirts,30
6241677,698083,2,Shirts,30
6241678,100058,1,Belts,25
6241678,272199S,1,Shirts,30
6241678,281658S,1,Shirts,30
6241678,391681,1,Shirts,30
6241678,497465,1,Shirts,30
6241678,690968,1,Shirts,30
6241678,694394,1,Shirts,30
6241678,694395,1,Shirts,30
6241678,695128,1,Shirts,30
6241678,695890,1,Shirts,30
6241678,697576,1,Shirts,30
6241678,698183,1,Shirts,30
6241678,710075,7,Shirts,30
6241678,792200,1,Shirts,30
6241678,15X84MA,2,Shirts,30
6241678,165X72MA,1,Shirts,30
6241678,308719MA,1,Shirts,30
6241678,37X75MA,1,Outerwear,8
6241678,774089MA,1,Shirts,30
6241678,92032SEMA,1,Shirts,30
6241678,9X39MA,1,Shirts,30
6241680,281505S,2,Shirts,30
6241680,299687,1,Shirts,30
6241680,690136,1,Shirts,30
6241680,690189,1,Slacks,40
6241680,692265,2,Shirts,30
6241680,693551,1,Shirts,30
6241680,698726,2,Shirts,30
6241680,3K30DC,1,Outerwear,8
6241680,4K46DC,1,Outerwear,8
6241680,324055MA,1,Shirts,30
6241680,48044MA,1,Outerwear,8
6241681,695711,2,Shirts,30
6241681,806083S,2,Shirts,30
6241682,690946,1,Shirts,30
6241682,690946,1,Shirts,30
6241682,693502,2,Shirts,30
6241682,303109MA,1,Shirts,30
6241683,20206,6,Shirts,30
6241683,20206,1,Shirts,30
6241684,672573E701MA,2,Neckwear,60
6241685,690911,1,Jewelry,250
6241685,807680,1,Shirts,30
6241687,292088,1,Shirts,30
6241687,696866,1,Shirts,30
6241687,15X100MA,2,Shirts,30
6241687,92518E701MA,1,Shirts,30
6241688,193366,2,Shirts,30
6241689,299632,1,Shirts,30
6241689,299719,1,Slacks,40
6241689,390366,1,Shirts,30
6241689,394435,1,Shirts,30
6241692,390391,1,Shirts,30
6241692,497142,1,Shirts,30
6241692,691451,1,Shirts,30
6241692,692232,1,Shirts,30
6241692,454211MA,1,Neckwear,60
6241693,692714,1,Footwear,12
6241693,774091MA,6,Shirts,30
6241694,272653S,10,Shirts,30
6241694,394281S,2,Shirts,30
6241694,495606,1,Shirts,30
6241694,692012,1,Shirts,30
6241694,692406,1,Shirts,30
6241694,790901,1,Shirts,30
6241695,27876,1,Shirts,30
6241695,691728,1,Shirts,30
6241696,692909,1,Shirts,30
6241696,698071,2,Shirts,30
6241697,190594GS,1,Shirts,30
6241698,392308S,1,Shirts,30
6241698,398811,1,Shirts,30
6241698,693193,1,Shirts,30
6241698,696537,1,Shirts,30
6241698,696540,1,Shirts,30
6241698,698478,1,Shirts,30
6241698,802574,1,Shirts,30
6241699,4107,2,Shirts,30
6241699,4167,1,Shirts,30
6241699,790400,2,Shirts,30
6241699,530036141,3,Shirts,30
6241699,530054735,2,Shirts,30
6241699,530095151,1,Shirts,30
6241699,37X65MA,2,Outerwear,8
6241701,296178,3,Shirts,30
6241701,4101,1,Shirts,30
6241701,4142,1,Shirts,30
6241701,4156,3,Shirts,30
6241701,497465,1,Shirts,30
6241701,498144,2,Shirts,30
6241701,696540,3,Shirts,30
6241701,37X61MA,2,Outerwear,8
6241702,19244,1,Shirts,30
6241702,262651S,1,Shirts,30
6241702,291675S,5,Shirts,30
6241702,299637,3,Shirts,30
6241702,495854,1,Shirts,30
6241702,495868,1,Slacks,40
6241702,497481,1,Shirts,30
6241702,690953,2,Shirts,30
6241702,691185,1,Shirts,30
6241702,691297,1,Shirts,30
6241702,691556,1,Shirts,30
6241702,691640,1,Shirts,30
6241702,691879,1,Shirts,30
6241702,691912,1,Neckwear,60
6241702,692081,1,Shirts,30
6241702,692200,3,Shirts,30
6241702,692309,1,Shirts,30
6241702,692532,1,Shirts,30
6241702,693503,1,Shirts,30
6241702,694000,1,Shirts,30
6241702,694442,1,Shirts,30
6241702,696565,3,Shirts,30
6241702,791886,1,Shirts,30
6241702,89966,1,Shirts,30
6241702,530055122,1,Shirts,30
6241702,530069400,2,Shirts,30
6241702,37X75MA,1,Outerwear,8
6241702,420613MA,1,Shirts,30
6241702,420729MA,2,Shirts,30
6241702,43749MA,1,Shirts,30
6241702,56217E701MA,2,Neckwear,60
6241703,271935S,2,Shirts,30
6241703,291675S,1,Shirts,30
6241703,394682,2,Shirts,30
6241703,4142,1,Shirts,30
6241703,4156,2,Shirts,30
6241703,4201,2,Shirts,30
6241703,498144,1,Shirts,30
6241703,498869,1,Shirts,30
6241703,690577,5,Shirts,30
6241703,808656,1,Shirts,30
6241703,4K37DC,1,Outerwear,8
6241703,4K40DC,1,Outerwear,8
6241703,4K85DC,1,Outerwear,8
6241703,5K70DC,1,Outerwear,8
6241703,5K85DC,1,Outerwear,8
6241704,398211,1,Footwear,12
6241704,691941,2,Shirts,30
6241704,70250MA,2,Shirts,30
6241704,94100ZMA,1,Shirts,30
6241705,272996,1,Shirts,30
6241705,281370S,2,Shirts,30
6241705,291675S,2,Shirts,30
6241705,391086S,1,Shirts,30
6241705,391483S,1,Shirts,30
6241705,393397,1,Shirts,30
6241705,394019S,1,Shirts,30
6241705,394681,2,Shirts,30
6241705,399671,2,Shirts,30
6241705,4111,1,Shirts,30
6241705,491435S,1,Shirts,30
6241705,494241,1,Slacks,40
6241705,498260,1,Shirts,30
6241705,498261,1,Shirts,30
6241705,498869,1,Shirts,30
6241705,499292,1,Shirts,30
6241705,691667,1,Shirts,30
6241705,692024,1,Shirts,30
6241705,692219,2,Shirts,30
6241705,692226,1,Shirts,30
6241705,692882,1,Shirts,30
6241705,694056,1,Shirts,30
6241705,696540,1,Shirts,30
6241705,696541,1,Shirts,30
6241705,698717,2,Shirts,30
6241705,421409MA,1,Shirts,30
6241705,774089MA,1,Shirts,30
6241706,273186S,1,Shirts,30
6241706,295871,4,Shirts,30
6241706,394682,1,Shirts,30
6241706,692265,1,Shirts,30
6241707,291488,1,Shirts,30
6241708,198236GS,1,Shirts,30
6241709,198236GS,1,Shirts,30
6241710,272653S,9,Shirts,30
6241710,272996,1,Shirts,30
6241710,495770,2,Shirts,30
6241710,497465,2,Shirts,30
6241711,270073,2,Shirts,30
6241711,298060,1,Shirts,30
6241711,392308S,1,Shirts,30
6241711,4110,1,Shirts,30
6241711,4111,1,Shirts,30
6241711,4136,1,Shirts,30
6241711,4139,1,Shirts,30
6241711,4154,1,Shirts,30
6241711,497316,1,Slacks,40
6241711,497465,2,Shirts,30
6241711,691450,1,Shirts,30
6241711,695711,1,Shirts,30
6241711,699374,1,Shirts,30
6241711,715439,1,Shirts,30
6241711,792647,1,Shirts,30
6241711,530071259,1,Shirts,30
6241711,37X45MA,1,Outerwear,8
6241711,37X62MA,1,Outerwear,8
6241711,37X70MA,1,Outerwear,8
6241712,165X76SEMA,1,Shirts,30
6241712,774089MA,1,Shirts,30
6241712,9X39MA,1,Shirts,30
6241714,497595,1,Shirts,30
6241714,498144,3,Shirts,30
6241715,694000,1,Shirts,30
6241715,792046,1,Footwear,12
6241716,295871,3,Shirts,30
6241716,399671,4,Shirts,30
6241716,4119,1,Shirts,30
6241716,495933,3,Shirts,30
6241716,496914,2,Shirts,30
6241716,692003,4,Shirts,30
6241716,692319,1,Shirts,30
6241716,694919,2,Shirts,30
6241716,698210,2,Shirts,30
6241716,790967,1,Shirts,30
6241716,78-1120,1,Shirts,30
6241716,37X61MA,3,Outerwear,8
6241716,37X66MA,2,Outerwear,8
6241716,37X88MA,2,Outerwear,8
6241716,442225MA,2,Neckwear,60
6241716,491742MA,1,Neckwear,60
6241716,491871MA,2,Neckwear,60
6241716,492117MA,2,Neckwear,60
6241716,492418MA,5,Neckwear,60
6241717,774052MA,2,Neckwear,60
6241718,231855S,2,Shirts,30
6241718,281165S,10,Shirts,30
6241718,398188,5,Shirts,30
6241718,492833,2,Shirts,30
6241718,496415,1,Shirts,30
6241718,497596,2,Shirts,30
6241718,498144,1,Shirts,30
6241718,690577,5,Shirts,30
6241718,691185,1,Shirts,30
6241718,691564,1,Shirts,30
6241718,691890,1,Shirts,30
6241718,692047,1,Shirts,30
6241718,692284,2,Shirts,30
6241718,692297,1,Shirts,30
6241718,693509,3,Shirts,30
6241718,1101826MA,1,Neckwear,60
6241718,37X51MA,1,Outerwear,8
6241718,454390MA,1,Neckwear,60
6241718,456217MA,1,Neckwear,60
6241718,495100MA,1,Neckwear,60
6241718,57556MA,1,Outerwear,8
6241720,270026,10,Shirts,30
6241720,272538S,10,Shirts,30
6241720,280H07-0005,1,Slacks,40
6241720,4101,2,Shirts,30
6241720,699644,1,Shirts,30
6241721,165X92MA,1,Shirts,30
6241721,71692MA,1,Shirts,30
6241722,20250,2,Shirts,30
6241722,30210,2,Shirts,30
6241723,270344S,1,Shirts,30
6241723,271868S,3,Shirts,30
6241723,272653S,10,Shirts,30
6241723,272948S,1,Shirts,30
