"","f.Apple","f.Google","f.Starbucks"
"339",6.644643,294.032898,8.2
"340",6.563214,292.005493,8.005
"341",6.541429,288.418945,7.89
"342",6.614643,286.30188,7.95
"343",6.736071,292.020447,8.04
"344",6.829643,292.149963,7.97
"345",6.671786,288.418945,7.915
"346",6.789643,289.629395,8.275
"347",6.709286,288.194763,8.525
"348",6.493571,286.242096,8.42
"349",6.631071,288.17984,8.465
"350",6.402143,274.944427,8.34
"351",6.456071,272.458771,8.545
"352",6.526786,271.462494,8.5
"353",6.693214,282.909576,8.8
"354",6.67,286.321808,8.915
"355",6.694643,290.645599,9.19
"356",6.735714,290.162415,9.085
"357",6.673571,287.173615,8.965
"358",6.572143,281.609467,8.86
"359",6.655,287.462524,9.075
"360",6.714286,288.792542,9.175
"361",6.599643,282.96936,8.855
"362",6.446786,273.753906,8.665
"363",6.583571,277.081421,8.97
"364",6.481786,273.355408,8.88
"365",6.13,279.696625,8.975
"366",6.117857,282.192261,9.005
"367",6.360714,287.098877,9.185
"368",6.468571,281.200989,9
"369",6.376786,276.638092,8.865
"370",6.405357,277.450043,8.885
"371",6.240714,271.661743,8.63
"372",6.156071,271.552155,8.18
"373",6.236071,271.467468,8.31
"374",6.216786,271.034088,8.375
"375",5.946786,262.854767,8.15
"376",6.078214,265.240814,8.095
"377",5.865357,258.819885,7.78
"378",6.257143,267.253265,8.015
"379",6.056786,264.448792,7.79
"380",6.184286,270.137451,7.795
"381",6.264286,271.975555,7.375
"382",6.435714,274.351654,7.655
"383",6.247143,271.482422,7.375
"384",6.266786,267.248291,7.09
"385",6.401429,268.493622,7.105
"386",6.16,257.176056,6.88
"387",6.078571,256.060211,6.765
"388",6.217857,266.082672,6.92
"389",6.018571,248.244522,7.195
"390",5.960714,239.54213,7.18
"391",5.321429,232.488571,7.035
"392",5.8925,239.905777,7.615
"393",5.868571,247.422592,7.575
"394",5.728571,242.33667,7.365
"395",5.797857,245.126205,7.155
"396",5.550357,238.755081,7.15
"397",5.635,241.843506,7.535
"398",5.626429,236.393936,7.275
"399",5.710714,235.372772,7.45
"400",5.592857,233.185959,7.215
"401",5.550714,232.921951,7.145
"402",5.713214,238.291824,7.24
"403",5.811071,240.100052,7.315
"404",5.852143,239.178497,7.31
"405",6.073929,245.315491,7.48
"406",6.197143,250.062698,8.07
"407",6.356429,249.863449,8.215
"408",6.368929,247.920731,8.055
"409",6.394286,252.548386,8.55
"410",6.270357,253.968063,8.315
"411",6.233571,244.299301,8.2
"412",6.241786,246.436295,8.08
"413",6.231071,240.558334,7.79
"414",6.279286,244.832306,7.88
"415",6.291071,242.147369,7.985
"416",6.17,240.827316,7.835
"417",6.189643,235.980484,7.725
"418",6.26,235.362808,7.905
"419",6.177143,233.997925,7.955
"420",6.157143,237.494812,7.98
"421",5.958571,233.489822,7.995
"422",5.923571,229.141129,7.905
"423",5.663929,221.913208,7.45
"424",5.8775,225.166016,7.79
"425",5.602143,210.794891,7.8
"426",5.44,211.442459,7.565
"427",5.292143,203.412567,7.435
"428",5.389643,214.301743,7.745
"429",5.0725,211.208344,7.425
"430",4.780714,212.184677,7.725
"431",4.946071,218.42131,7.8
"432",4.663214,210.530884,7.92
"433",5.092857,229.639252,8.195
"434",4.997857,226.217087,7.995
"435",4.708929,215.816071,7.64
"436",4.545357,214.366501,7.56
"437",4.635714,218.600632,7.505
"438",4.461071,213.200867,7.27
"439",4.272143,208.971725,7.43
"440",3.866071,197.250656,7.19
"441",3.997143,204.807327,7.28
"442",3.8575,204.129868,7.445
"443",3.714286,197.933105,7.185
"444",3.284286,186.291733,6.665
"445",3.588571,185.967941,6.57
"446",3.068214,164.463547,5.985
"447",3.333929,171.616745,5.8
"448",3.060714,155.995285,5.155
"449",3.733929,177.230698,5.81
"450",4.152143,196.030228,6.04
"451",3.708571,176.662827,5.5
"452",3.563214,165.758698,5.04
"453",3.557143,188.77243,5.145
"454",3.563571,189.165955,5.28
"455",3.4625,185.499695,5.28
"456",3.4775,177.828461,5.12
"457",3.446786,176.164688,5.015
"458",3.226071,162.625443,4.58
"459",3.395357,166.779861,4.65
"460",3.408214,168.891953,4.9
"461",3.602143,182.212021,5.425
"462",3.865357,183.542038,5.925
"463",3.835714,177.415009,6.26
"464",3.783214,178.12236,6.335
"465",3.928214,176.060089,6.475
"466",3.889643,180.398819,6.175
"467",3.608929,169.350235,5.745
"468",3.544286,165.938019,5.5
"469",3.5775,163.387589,5.5
"470",3.386071,153.768631,4.75
"471",3.301071,150.461029,4.835
"472",3.209643,145.340225,4.725
"473",3.348571,151.058792,4.595
"474",3.16,150.934265,4.21
"475",3.201429,150.221924,4.31
"476",3.194286,147.143463,4.14
"477",3.044286,136.931747,3.945
"478",2.926071,130.764862,3.74
"479",3.043214,134.127258,4.025
"480",3.379643,133.838348,4
"481",3.211429,139.616684,4.02
"482",3.382143,144.747452,4.325
"483",3.260714,142.804733,4.315
"484",3.215357,134.361374,4.09
"485",3.192857,134.421158,4.16
"486",3.3725,137.748688,4.205
"487",3.226786,135.003967,4.22
"488",3.474286,144.453552,4.65
"489",3.501429,148.289169,4.685
"490",3.495357,154.042603,4.645
"491",3.476786,151.517075,4.71
"492",3.314286,147.302872,4.445
"493",3.428214,156.418701,4.71
"494",3.356429,156.672745,4.605
"495",3.251071,158.725067,4.795
"496",3.189643,157.758682,5.005
"497",3.212143,154.914337,4.885
"498",3.215,153.703873,4.945
"499",3.1025,149.654053,4.69
"500",3.076429,150.177094,4.625
"501",3.094286,151.46727,4.74
"502",3.09,149.549454,4.715
"503",3.122143,149.838364,4.545
"504",3.070357,151.532028,4.66
"505",3.067143,153.723801,4.705
"506",3.3275,159.90065,4.94
"507",3.426786,165.868286,5.025
"508",3.278929,163.546982,5.02
"509",3.229643,158.545731,4.925
"510",3.328929,163.138519,5.06
"511",3.230714,157.564407,4.905
"512",3.151429,155.302887,4.755
"513",3.08,154.421188,4.615
"514",2.8775,148.229401,4.53
"515",3.010714,151.940491,4.745
"516",2.926071,149.011475,4.73
"517",2.835357,143.636612,4.285
"518",3.144286,148.463516,4.49
"519",3.100714,154.057556,4.44
"520",3.173571,161.818466,4.505
"521",3.221071,162.615479,4.49
"522",3.29,168.358948,4.685
"523",3.324643,171.626694,4.625
"524",3.307143,171.701416,4.87
"525",3.182143,166.520844,4.63
"526",3.282857,170.645386,4.68
"527",3.329286,169.40004,4.9
"528",3.313214,169.818481,4.815
"529",3.465,177.564438,5.035
"530",3.571429,184.946777,5.195
"531",3.618929,187.287994,5.245
"532",3.441786,178.804794,5.025
"533",3.4225,175.920609,4.94
"534",3.535357,180.418747,5.09
"535",3.459643,172.608017,4.855
"536",3.394643,172.971664,4.815
"537",3.334643,178.067566,4.835
"538",3.192857,168.393814,4.7
"539",3.273214,172.852112,4.81
"540",3.123214,164.891953,4.56
"541",3.209286,170.436157,4.745
"542",3.285714,172.334045,4.655
"543",3.140357,165.853348,4.46
"544",3.147143,166.042633,4.49
"545",3.176071,164.418716,4.505
"546",3.220714,160.976624,4.32
"547",3.230714,157.649094,4.33
"548",3.155,153.036377,4.33
"549",3.006429,149.429901,4.165
"550",3.031071,148.56813,4.235
"551",3.2075,154.471008,4.6
"552",3.317857,158.177109,4.595
"553",3.439286,162.441132,5.035
"554",3.4475,162.386337,5.315
"555",3.401429,159.492188,5.335
"556",3.568214,166.779861,5.535
"557",3.6375,165.220718,5.815
"558",3.646071,164.533295,5.805
"559",3.668214,166.157196,5.73
"560",3.798571,172.603043,5.965
"561",3.842143,174.545761,5.73
"562",3.851071,175.905655,5.655
"563",3.865357,174.346512,6.005
"564",3.7325,170.635422,5.74
"565",3.766071,173.813507,5.725
"566",3.7175,171.248123,5.495
"567",3.933571,180.976654,5.725
"568",4.078214,181.569427,5.89
"569",4.105,182.814758,5.745
"570",4.161786,180.622986,5.575
"571",4.1225,181.071304,5.66
"572",4.229286,184.060104,5.93
"573",4.286071,184.97168,5.93
"574",4.270357,187.766205,5.95
"575",4.185714,182.864578,5.58
"576",4.256786,190.037689,5.715
"577",4.327857,192.289246,5.76
"578",4.3475,192.354004,5.815
"579",4.246071,187.382645,5.605
"580",4.379643,190.162231,5.845
"581",4.522143,193.031464,6.25
"582",4.451429,192.304199,6.615
"583",4.389286,191.452393,6.605
"584",4.405357,191.158493,6.48
"585",4.458929,192.264343,6.835
"586",4.507857,197.141068,6.88
"587",4.492857,196.777435,7.21
"588",4.58,198.341568,7
"589",4.705357,199.243195,7.14
"590",4.761786,202.635468,7.16
"591",4.726071,201.295502,7.06
"592",4.608571,200.672836,7.06
"593",4.548929,200.647919,6.685
"594",4.627143,204.239456,6.695
"595",4.400357,196.309189,6.575
"596",4.277857,193.674057,6.35
"597",4.368571,194.819763,6.395
"598",4.418929,196.627991,6.565
"599",4.529286,197.310425,6.675
"600",4.558214,200.29425,6.76
"601",4.469643,197.410065,6.695
"602",4.430357,197.589386,6.76
"603",4.455714,195.243179,6.275
"604",4.706429,202.062622,6.74
"605",4.766071,203.57695,6.765
"606",4.835357,205.285538,6.895
"607",4.873929,208.583176,7.285
"608",4.963929,212.329132,7.375
"609",5,212.204605,7.355
"610",5.004643,216.837234,7.64
"611",5.189643,221.703995,7.695
"612",5.136429,218.929398,7.345
"613",5.136071,218.471115,7.48
"614",5.081429,217.300507,7.59
"615",4.983929,215.078827,7.425
"616",4.9575,212.632996,7.085
"617",4.8575,209.963013,7.18
"618",4.880714,208.872101,7.07
"619",4.881071,207.317917,6.97
"620",4.861071,207.063873,7.12
"621",4.931071,208.324142,7.05
"622",5.023929,207.696503,7
"623",4.871429,202.565735,6.945
"624",4.836429,203.606827,7.14
"625",4.848214,202.740082,7.075
"626",4.9925,206.067612,7.37
"627",5.123571,212.204605,7.37
"628",5.092143,211.208344,7.205
"629",5.125,211.307968,6.99
"630",5.044643,206.929382,6.935
"631",4.953571,202.491013,6.63
"632",4.945714,203.357758,6.725
"633",4.854286,199.253143,6.52
"634",4.92,202.301727,6.53
"635",4.869286,204.025269,6.765
"636",4.983571,207.307953,6.725
"637",5.0725,211.063889,6.95
"638",5.18,214.027771,7.09
"639",5.205714,217.524658,7.17
"640",5.324286,215.691528,7.265
"641",5.473929,214.13736,7.225
"642",5.474643,214.665375,7.515
"643",5.635357,213.200867,8
"644",5.593929,213.539597,8.6
"645",5.605357,217.091293,8.615
"646",5.720357,222.187195,8.675
"647",5.674286,219.676605,8.56
"648",5.675,217.79863,8.63
"649",5.775,220.478592,8.72
"650",5.821071,224.149826,8.745
"651",5.900357,223.53215,8.99
"652",5.890357,223.845963,9.05
"653",5.919643,227.14859,9.375
"654",5.913571,226.301758,9.22
"655",5.910357,226.984207,9.315
"656",5.916429,226.7202,9.405
"657",5.846071,225.987946,9.58
"658",5.805357,226.854691,9.44
"659",5.951786,230.212112,9.65
"660",5.997857,230.525925,9.73
"661",5.841071,224.906998,9.36
"662",5.7725,221.718948,9.325
"663",5.8125,219.173477,9.385
"664",5.892143,225.156067,9.525
"665",5.9875,231.900772,9.685
"666",6.075714,232.802399,9.87
"667",6.052143,233.689072,9.62
"668",6.032857,235.497299,9.725
"669",6.026786,233.4151,9.665
"670",6.1525,233.75383,9.805
"671",6.005714,229.036514,9.615
"672",5.999643,228.98172,9.49
"673",5.879286,227.058929,9.24
"674",5.944286,227.058929,9.3
"675",5.974286,227.930664,9.355
"676",6.177857,231.278107,9.535
"677",6.170714,228.672882,9.6
"678",6.145,232.453705,10.06
"679",6.175357,234.321701,9.995
"680",6.101071,234.376495,9.835
"681",6.215714,236.652969,10
"682",6.356786,239.00415,9.915
"683",6.499286,244.369049,9.905
"684",6.636786,247.457474,10.23
"685",6.581786,242.959335,10.315
"686",6.613929,249.524719,10.33
"687",6.621429,249.454987,10.2
"688",6.685714,249.300568,9.9
"689",6.500357,246.222092,9.565
"690",6.566786,246.496078,9.97
"691",6.668929,248.832321,10.34
"692",6.6475,249.066437,10.185
"693",6.619643,245.579514,10.27
"694",6.478929,240.966797,9.865
"695",6.65,242.91449,9.905
"696",6.705,244.931931,10.025
"697",6.777143,248.568298,10.235
"698",6.809286,258.814911,10.23
"699",6.748929,257.360352,10.185
"700",6.822143,260.732697,10.08
"701",6.808214,261.215912,10.215
"702",6.866071,265.23584,10.215
"703",6.7725,265.878418,10.175
"704",6.7625,272.643066,10.32
"705",6.708929,275.313049,10.34
"706",7.164286,274.790009,10.39
"707",7.125714,273.928253,10.175
"708",7.310714,273.973083,10.175
"709",7.346429,276.588287,10.27
"710",7.273929,276.837341,10.025
"711",7.202143,274.456268,9.99
"712",7.061071,272.912048,9.59
"713",6.964286,270.491119,9.47
"714",7.002143,273.973083,9.77
"715",6.778571,267.537201,9.49
"716",6.708929,264.015411,9.625
"717",6.811786,269.390259,9.8
"718",6.871429,270.730225,9.71
"719",6.875357,272.837341,10.2
"720",7.033571,276.687897,10.58
"721",7.179286,280.314301,10.49
"722",7.305714,284.174835,10.8
"723",7.255,283.716553,10.8
"724",7.245357,283.582062,10.835
"725",7.338571,286.426392,10.91
"726",7.36,286.361633,10.95
"727",7.376429,287.248322,10.875
"728",7.3075,285.81369,10.74
"729",7.1125,283.686676,10.665
"730",7.25,287.16861,10.905
"731",7.333214,290.172363,10.755
"732",7.335714,292.110107,10.7
"733",7.115,284.932007,10.525
"734",7.1825,289.230896,10.665
"735",7.222857,292.966888,10.975
"736",7.105714,294.396515,10.905
"737",7.050714,293.420197,10.86
"738",7.132143,295.402771,10.705
"739",6.904286,291.014221,10.765
"740",6.762857,290.660522,10.575
"741",6.831429,292.653076,10.63
"742",7.125,294.117584,10.715
"743",7.063571,296.229645,11.21
"744",6.9775,296.563416,11.235
"745",6.993929,295.542236,11.335
"746",6.967857,298.182343,11.35
"747",6.937857,297.106384,11.155
"748",6.898929,296.90213,11.215
"749",7.001786,297.689178,11.845
"750",7.122857,299.547211,11.67
"751",7.185714,300.623199,11.84
"752",7.269643,305.320587,11.88
"753",7.561429,309.669281,11.815
"754",7.593929,311.203522,11.92
"755",7.458214,308.095184,11.67
"756",7.611786,311.208527,11.67
"757",7.6225,312.304413,11.66
"758",7.664286,312.418976,11.48
"759",7.656429,311.761444,11.74
"760",7.5625,303.562164,11.64
"761",7.510714,294.894653,11.6
"762",7.6,301.10141,11.685
"763",7.471071,297.709106,11.45
"764",7.423929,287.16861,11.45
"765",7.503929,290.859772,11.62
"766",7.533214,295.562164,11.865
"767",7.440357,289.514832,11.7
"768",7.675357,291.895905,11.87
"769",7.574286,290.630646,12.06
"770",7.385,281.196014,11.815
"771",7.2325,272.274445,11.5
"772",7.355357,267.98053,11.105
"773",7.3875,269.62439,11.27
"774",7.318929,271.228363,11.25
"775",7.181429,268.239563,11.06
"776",6.870357,266.301849,10.995
"777",6.996786,266.481171,11.075
"778",6.970357,263.3479,11.195
"779",7.026071,267.497345,11.13
"780",6.879643,263.213409,10.895
"781",6.988929,265.255768,10.83
"782",7.015,268.762604,11.075
"783",6.996071,266.037811,11.02
"784",6.96,265.664215,11.13
"785",7.075357,265.489868,11.035
"786",7.212143,267.432587,11.345
"787",7.2925,269.988007,11.535
"788",7.201071,267.766357,11.605
"789",7.209286,269.255768,11.585
"790",7.226429,272.653015,11.665
"791",7.142857,270.486145,11.38
"792",7.079643,265.992981,11.375
"793",7.049286,262.575806,11.325
"794",7.227857,262.72525,11.46
"795",7.348214,263.611908,11.465
"796",7.4975,266.740204,11.59
"797",7.462143,270.167358,11.65
"798",7.474286,272.229614,11.525
"799",7.676429,279.626892,11.52
"800",7.8575,281.33548,11.635
"801",7.796786,278.8797,11.75
"802",7.993929,280.827393,11.765
"803",7.996786,286.05777,12.02
"804",8.120357,292.971863,12.135
"805",8.049286,282.281952,12.15
"806",8.006429,279.865997,12.475
"807",8.032143,283.088928,12.685
"808",8.003571,281.305603,12.725
"809",8.028214,278.954407,12.485
"810",7.873929,277.016663,12.39
"811",8.058571,277.47995,12.715
"812",8.13,271.73645,12.92
"813",8.247143,278.466248,12.53
"814",8.176786,281.579559,12.195
"815",8.321429,280.448822,12.315
"816",8.45,280.364136,12.21
"817",8.410357,281.469971,12.21
"818",8.478929,284.608215,12.27
"819",8.392143,284.384064,12.055
"820",8.507143,283.666748,12.225
"821",8.555357,282.59079,12.4
"822",8.587143,280.608215,12.375
"823",8.6225,282.685425,12.425
"824",8.65,282.615692,12.325
"825",8.637857,285.196014,12.205
